well,qPCR_plate,qPCR_replicate,sample_ID,primer,day_frozen,treatment,sex,p47_35_cycle_result,p47_30_cycle_result,band_strength_35_cycles,band_strength_30_cycles,115_1ng_30_PCR_result,115_30_cycle_PCR_result,115_1ng_30_PCR_band,115_30_cycle_PCR_band,Cq
F04,plate_1,1,42,115,day3,16Cq DiNV,male,yes,yes,strong,strong,yes,yes,strong,strong,21.48
F05,plate_1,2,42,115,day3,16Cq DiNV,male,yes,yes,strong,strong,yes,yes,strong,strong,21.44
F06,plate_1,3,42,115,day3,16Cq DiNV,male,yes,yes,strong,strong,yes,yes,strong,strong,21.62
F07,plate_1,1,48,115,day3,16Cq DiNV,male,yes,yes,mid-strong,mid-weak,no,yes,none,mid-strong,29.60
F08,plate_1,2,48,115,day3,16Cq DiNV,male,yes,yes,mid-strong,mid-weak,no,yes,none,mid-strong,29.90
F09,plate_1,3,48,115,day3,16Cq DiNV,male,yes,yes,mid-strong,mid-weak,no,yes,none,mid-strong,29.62
F10,plate_1,1,64,115,day3,16Cq DiNV,female,yes,no,mid-weak,none,no,no,none,none,29.91
F11,plate_1,2,64,115,day3,16Cq DiNV,female,yes,no,mid-weak,none,no,no,none,none,29.57
F12,plate_1,3,64,115,day3,16Cq DiNV,female,yes,no,mid-weak,none,no,no,none,none,29.92
A01,plate_2,1,84,TPI,day5,SP,male,yes,yes,strong,mid-weak,no,yes,none,mid-weak,24.43
A02,plate_2,2,84,TPI,day5,SP,male,yes,yes,strong,mid-weak,no,yes,none,mid-weak,24.48
A03,plate_2,3,84,TPI,day5,SP,male,yes,yes,strong,mid-weak,no,yes,none,mid-weak,24.35
A04,plate_2,1,87,TPI,day5,SP,male,maybe,no,weak,none,no,no,none,none,24.99
A05,plate_2,2,87,TPI,day5,SP,male,maybe,no,weak,none,no,no,none,none,25.21
A06,plate_2,3,87,TPI,day5,SP,male,maybe,no,weak,none,no,no,none,none,25.32
A07,plate_2,1,89,TPI,day5,SP,female,yes,yes,strong,mid-strong,no,yes,none,strong,24.85
A08,plate_2,2,89,TPI,day5,SP,female,yes,yes,strong,mid-strong,no,yes,none,strong,25.08
A09,plate_2,3,89,TPI,day5,SP,female,yes,yes,strong,mid-strong,no,yes,none,strong,24.76
A10,plate_2,1,94,TPI,day5,16Cq DiNV,male,yes,no,mid-strong,none,no,maybe,none,weak,24.32
A11,plate_2,2,94,TPI,day5,16Cq DiNV,male,yes,no,mid-strong,none,no,maybe,none,weak,24.33
A12,plate_2,3,94,TPI,day5,16Cq DiNV,male,yes,no,mid-strong,none,no,maybe,none,weak,24.60
B01,plate_2,1,98,TPI,day5,16Cq DiNV,male,yes,yes,strong,mid-strong,yes,yes,mid-weak,strong,24.33
B02,plate_2,2,98,TPI,day5,16Cq DiNV,male,yes,yes,strong,mid-strong,yes,yes,mid-weak,strong,24.14
B03,plate_2,3,98,TPI,day5,16Cq DiNV,male,yes,yes,strong,mid-strong,yes,yes,mid-weak,strong,24.16
B04,plate_2,1,117,TPI,day5,16Cq DiNV,female,maybe,no,weak,none,no,no,none,none,24.03
B05,plate_2,2,117,TPI,day5,16Cq DiNV,female,maybe,no,weak,none,no,no,none,none,23.97
B06,plate_2,3,117,TPI,day5,16Cq DiNV,female,maybe,no,weak,none,no,no,none,none,24.02
B07,plate_2,1,142,TPI,day10,SP,male,yes,no,mid-strong,none,no,maybe,none,weak,24.27
B08,plate_2,2,142,TPI,day10,SP,male,yes,no,mid-strong,none,no,maybe,none,weak,24.30
B09,plate_2,3,142,TPI,day10,SP,male,yes,no,mid-strong,none,no,maybe,none,weak,24.31
B10,plate_2,1,147,TPI,day10,SP,female,yes,no,mid-weak,none,no,no,none,none,24.09
B11,plate_2,2,147,TPI,day10,SP,female,yes,no,mid-weak,none,no,no,none,none,24.06
B12,plate_2,3,147,TPI,day10,SP,female,yes,no,mid-weak,none,no,no,none,none,24.51
C01,plate_2,1,143,TPI,day10,SP,male,yes,yes,strong,mid-weak,no,yes,none,mid-strong,24.44
